,alpha_0,P_0,w_0,distance,beta_1,beta_2,x1,y1,x2,y2
0,-1.90625,0.9875,0.984375,594.0625,0.08437499999999999,0.4859375,2.651311253707782,1.3256556268538966,2.563987559300132e-205,1.819507914420734e-205
1,-1.46875,0.9875,0.984375,594.0625,0.08437499999999999,0.4859375,2.647032297223908,1.3235161486119593,6.273325819722305e-190,4.320883670334993e-190
2,-1.90625,1.1375,0.984375,594.0625,0.08437499999999999,0.4859375,3.2594090324874934,1.6297045162437414,4.8323410375709746e-175,3.236704676212265e-175
3,-1.90625,0.9875,0.984375,594.0625,0.08437499999999999,0.4859375,2.651311253707782,1.3256556268538966,5.641787952046702e-205,4.003637924450201e-205
4,-1.90625,0.9875,0.984375,149.0625,0.08437499999999999,0.4859375,2.6513112537077004,1.3256556268538446,3.9963361842548446,1.998168092127417
5,-1.90625,0.9875,0.984375,594.0625,0.028124999999999997,0.4859375,2.651311253707782,1.3256556268538966,4.231466231992171e-217,3.07678967626413e-217
6,-1.90625,0.9875,0.984375,594.0625,0.08437499999999999,0.23281250000000003,2.651311253707782,1.3256556268538966,1.8252508018911497e-231,1.3677426874495428e-231
7,-1.46875,1.1375,0.984375,149.0625,0.028124999999999997,0.23281250000000003,3.1462499242699464,1.5731249621349677,3.391902755976724,1.6959513779883566
8,-1.40625,1.1875,1.234375,149.0625,0.234375,0.2609375,2.4317318670927093,1.2158659335463602,3.46613791429849,1.7330689571492504
9,-1.96875,1.1875,1.234375,149.0625,0.234375,0.2609375,2.3177253013039416,1.1588626506519764,3.6255449946244327,1.812772497312222
10,-1.40625,0.9375,1.234375,149.0625,0.234375,0.2609375,2.653390891741027e-177,1.7846954627670156e-177,3.7216481487219736e-203,2.642136199339291e-203
11,-1.40625,1.1875,1.234375,149.0625,0.234375,0.2609375,2.4317318670927093,1.2158659335463602,3.46613791429849,1.7330689571492504
12,-1.40625,1.1875,1.234375,594.0625,0.234375,0.2609375,2.4317318670927093,1.2158659335463602,3.716821101513349e-200,2.611709210476691e-200
13,-1.40625,1.1875,1.234375,149.0625,0.178125,0.2609375,2.4317318670927093,1.2158659335463602,3.289711718585055,1.6448558592925329
14,-1.40625,1.1875,1.234375,149.0625,0.234375,0.4578125,2.4317318670927093,1.2158659335463602,3.732171325373842,1.8660856626869267
15,-1.96875,0.9375,1.234375,594.0625,0.178125,0.4578125,9.16939441013987e-194,6.36300314636392e-194,2.9119487497659926e-288,2.485428107803131e-288
16,-1.15625,0.8875000000000001,0.859375,816.5625,0.159375,0.1484375,2.742538643010373,1.371269321505192,1.3105801910176735e-211,9.423198789044526e-212
17,-1.21875,0.8875000000000001,0.859375,816.5625,0.159375,0.1484375,2.748027709744434,1.3740138548722225,1.932032356118053e-215,1.3997375176446905e-215
18,-1.15625,0.8375,0.859375,816.5625,0.159375,0.1484375,2.53129344742128,1.2656467237106455,8.241296287822875e-216,5.971731207001782e-216
19,-1.15625,0.8875000000000001,1.109375,816.5625,0.159375,0.1484375,1.8733332263728422e-163,1.2290330194590053e-163,3.175977591403033e-242,2.4367512504097653e-242
20,-1.15625,0.8875000000000001,0.859375,816.5625,0.159375,0.1484375,2.742538643010373,1.371269321505192,4.0062049613715187e-212,2.880500254726586e-212
21,-1.15625,0.8875000000000001,0.859375,816.5625,0.253125,0.1484375,2.742538643010373,1.371269321505192,1.4311147394911204e-201,1.0084232015544013e-201
22,-1.15625,0.8875000000000001,0.859375,816.5625,0.159375,0.3453125,2.7425386430103065,1.3712693215051477,1.096427807321432e-201,7.718065016977066e-202
23,-1.21875,0.8375,1.109375,816.5625,0.253125,0.3453125,2.7388794528270154e-172,1.8253590009977662e-172,2.411334383158588e-248,1.876253987083995e-248
24,-1.65625,1.0875,1.109375,371.5625,0.009375,0.3734375,2.5190050068960397,1.2595025034480254,3.916346222170998e-183,2.662989590394183e-183
25,-1.71875,1.0875,1.109375,371.5625,0.009375,0.3734375,2.5142340126035707,1.2571170063017907,7.106598174408544e-185,4.8493857609784826e-185
26,-1.65625,1.0375,1.109375,371.5625,0.009375,0.3734375,5.04648329508118e-137,3.2159466024189203e-137,7.208807059386129e-229,5.4135178140313634e-229
27,-1.65625,1.0875,0.859375,371.5625,0.009375,0.3734375,3.469229853915434,1.7346149269577116,3.054277537812269,1.52713876890614
28,-1.65625,1.0875,1.109375,371.5625,0.009375,0.3734375,2.5190050068960397,1.2595025034480254,1.9545030860003076e-184,1.328999296065012e-184
29,-1.65625,1.0875,1.109375,371.5625,0.103125,0.3734375,2.5190050068960397,1.2595025034480254,4.2070181666406316e-158,2.7370395744984353e-158
30,-1.65625,1.0875,1.109375,371.5625,0.009375,0.1203125,2.5190050068960397,1.2595025034480254,6.214129884991339e-213,4.480593889633127e-213
31,-1.71875,1.0375,0.859375,371.5625,0.103125,0.1203125,3.35092560861064,1.6754628043053144,2.591248614371094,1.2956243071855527
32,-1.53125,0.8375,1.171875,260.3125,0.046875,0.4296875,2.142907984875682e-189,1.4745939919535634e-189,1.7954212147812694e-231,1.3482027890620772e-231
33,-1.09375,0.8375,1.171875,260.3125,0.046875,0.4296875,1.8271632864507413e-176,1.2215351905059376e-176,2.380370630152738e-208,1.6953326305759013e-208
34,-1.53125,0.8875000000000001,1.171875,260.3125,0.046875,0.4296875,1.7697608290815962e-181,1.1995951784725847e-181,7.653839851993221e-227,5.693264478937566e-227
35,-1.53125,0.8375,1.046875,260.3125,0.046875,0.4296875,5.193301340334952e-174,3.467235712690719e-174,1.4174882110982896e-222,1.044429277576281e-222
36,-1.53125,0.8375,1.171875,482.8125,0.046875,0.4296875,1.986524161966799e-189,1.3669819771924411e-189,3.5912014571478885e-254,2.8306513684742108e-254
37,-1.53125,0.8375,1.171875,260.3125,0.29062499999999997,0.4296875,6.935694944768428e-190,4.772642674235756e-190,2.0319138452683804e-231,1.5257878712647472e-231
38,-1.53125,0.8375,1.171875,260.3125,0.046875,0.06406250000000001,1.0252734523117048e-190,7.05518894679016e-191,2.0433344829586545e-232,1.534363761679839e-232
39,-1.09375,0.8875000000000001,1.046875,482.8125,0.29062499999999997,0.06406250000000001,6.125883510377471e-154,3.958527072747356e-154,7.001460829022489e-217,5.0914171051544985e-217
40,-1.03125,1.0375,0.921875,705.3125,0.196875,0.20468750000000002,2.9577958453427815,1.4788979226713854,4.6467555679369744e-181,3.1466887722674337e-181
41,-1.59375,1.0375,0.921875,705.3125,0.196875,0.20468750000000002,3.0952516930762872,1.547625846538149,3.0448484036028644e-203,2.1482643483290305e-203
42,-1.03125,1.0875,0.921875,705.3125,0.196875,0.20468750000000002,3.068223616531337,1.5341118082656737,5.771603075815584e-178,3.882536010494082e-178
43,-1.03125,1.0375,0.796875,705.3125,0.196875,0.20468750000000002,3.2828048313340936,1.6414024156670521,1.7325806159070788e-162,1.1348901624903155e-162
44,-1.03125,1.0375,0.921875,37.8125,0.196875,0.20468750000000002,2.957795845342823,1.478897922671417,4.086166612872235,2.0430833064361282
45,-1.03125,1.0375,0.921875,705.3125,0.140625,0.20468750000000002,2.957795845342823,1.478897922671417,5.81916307277008e-188,3.993247106140198e-188
46,-1.03125,1.0375,0.921875,705.3125,0.196875,0.2890625,2.9577958453427815,1.4788979226713854,1.1505014768649151e-175,7.713542751683364e-176
47,-1.59375,1.0875,0.796875,37.8125,0.140625,0.2890625,3.650757401921921,1.8253787009609552,5.164374973764042,2.582187486882016
48,-1.28125,0.9375,1.046875,37.8125,0.271875,0.0921875,2.3341628483090948e-148,1.4968052021968956e-148,5.588524925103953e-153,3.6431061135320445e-153
49,-1.34375,0.9375,1.046875,37.8125,0.271875,0.0921875,2.681152237223586e-149,1.7219570204940631e-149,1.738692796204404e-154,1.1360789558094496e-154
50,-1.28125,1.1875,1.046875,37.8125,0.271875,0.0921875,3.0432798454014436,1.5216399227007162,4.276242263546477,2.138121131773228
51,-1.28125,0.9375,0.921875,37.8125,0.271875,0.0921875,2.6977566959762647,1.3488783479881379,4.155477644671022,2.0777388223355215
52,-1.28125,0.9375,1.046875,260.3125,0.271875,0.0921875,4.738623183159214e-152,3.038689368628096e-152,1.3093723819196963e-199,9.220907652725781e-200
53,-1.28125,0.9375,1.046875,37.8125,0.065625,0.0921875,5.60065793124778e-149,3.5914777468460815e-149,2.2692133816541064e-154,1.4792785671362153e-154
54,-1.28125,0.9375,1.046875,37.8125,0.271875,0.4015625,2.4370759418233522e-154,1.56279924963789e-154,5.293001499198949e-159,3.450457209924187e-159
55,-1.34375,1.1875,0.921875,260.3125,0.065625,0.4015625,3.3959687724155336,1.6979843862077724,3.711664730099817,1.8558323650499138
56,-1.78125,1.1375,0.796875,482.8125,0.121875,0.3171875,3.8562295750510316,1.9281147875255105,3.4657471782429625,1.7328735891214757
57,-1.84375,1.1375,0.796875,482.8125,0.121875,0.3171875,3.8847946785770056,1.9423973392884974,3.497639193679661,1.7488195968398252
58,-1.78125,0.9875,0.796875,482.8125,0.121875,0.3171875,3.4506590794207486,1.725329539710378,3.0458237568014224,1.5229118784007056
59,-1.78125,1.1375,1.171875,482.8125,0.121875,0.3171875,2.4370354676683186,1.2185177338341648,9.401555816566841e-202,6.629294015586839e-202
60,-1.78125,1.1375,0.796875,705.3125,0.121875,0.3171875,3.8562295750510382,1.9281147875255138,3.7084637474060045e-167,2.4438114584683507e-167
61,-1.78125,1.1375,0.796875,482.8125,0.21562499999999998,0.3171875,3.8562295750510382,1.9281147875255138,3.8957969016041183,1.9478984508020645
62,-1.78125,1.1375,0.796875,482.8125,0.121875,0.1765625,3.856229575051027,1.9281147875255082,3.031596560833633,1.5157982804168109
63,-1.84375,0.9875,1.171875,705.3125,0.21562499999999998,0.1765625,3.591606001882502e-171,2.3888864684994176e-171,4.407528280369643e-284,3.7232833263499685e-284
64,-1.90625,0.9875,0.984375,594.0625,0.08437499999999999,0.4859375,2.651311253707782,1.3256556268538966,5.534956465319258e-205,3.927826037257199e-205
65,-1.46875,0.9875,0.984375,594.0625,0.08437499999999999,0.4859375,2.647032297223825,1.323516148611907,7.190732587172607e-191,4.952766667399926e-191
66,-1.90625,1.1375,0.984375,594.0625,0.08437499999999999,0.4859375,3.2594090324874934,1.6297045162437414,7.158932129763847e-177,4.795056665276293e-177
67,-1.90625,0.9875,0.984375,594.0625,0.08437499999999999,0.4859375,2.651311253707782,1.3256556268538966,4.236311618038695e-205,3.006255817823816e-205
68,-1.90625,0.9875,0.984375,149.0625,0.08437499999999999,0.4859375,2.867879736785442e-136,1.7792881602035584e-136,1.7327584726557841e-186,1.186248134327075e-186
69,-1.90625,0.9875,0.984375,594.0625,0.028124999999999997,0.4859375,2.651311253707782,1.3256556268538966,4.5959548331679476e-217,3.3418171404406793e-217
70,-1.90625,0.9875,0.984375,594.0625,0.08437499999999999,0.23281250000000003,2.651311253707782,1.3256556268538966,1.0695461774952708e-231,8.014591538012682e-232
71,-1.46875,1.1375,0.984375,149.0625,0.028124999999999997,0.23281250000000003,3.1462499242699464,1.5731249621349677,3.391902755976724,1.6959513779883566
72,-1.40625,1.1875,1.234375,149.0625,0.234375,0.2609375,3.9637571909778143e-143,2.494044154938678e-143,4.336991158915603e-178,2.925763536673027e-178
73,-1.96875,1.1875,1.234375,149.0625,0.234375,0.2609375,2.3177253013039416,1.1588626506519764,3.6255449946244327,1.812772497312222
74,-1.40625,0.9375,1.234375,149.0625,0.234375,0.2609375,2.4338059799912016e-177,1.6370006029889796e-177,3.368384122983804e-203,2.391340951366248e-203
75,-1.40625,1.1875,1.234375,149.0625,0.234375,0.2609375,2.4317318670927093,1.2158659335463602,3.46613791429849,1.7330689571492504
76,-1.40625,1.1875,1.234375,594.0625,0.234375,0.2609375,2.4317318670927093,1.2158659335463602,4.228205042341409e-200,2.971044812560608e-200
77,-1.40625,1.1875,1.234375,149.0625,0.178125,0.2609375,2.4317318670927093,1.2158659335463602,3.289711718585055,1.6448558592925329
78,-1.40625,1.1875,1.234375,149.0625,0.234375,0.4578125,2.431731867092559,1.215865933546274,3.7321713253737605,1.8660856626868747
79,-1.96875,0.9375,1.234375,594.0625,0.178125,0.4578125,9.172325676468644e-194,6.365037267270771e-194,2.7672582783355337e-288,2.3619308228136718e-288
80,-1.15625,0.8875000000000001,0.859375,816.5625,0.159375,0.1484375,2.7425386430103065,1.3712693215051477,9.643830638506301e-212,6.934007839990136e-212
81,-1.21875,0.8875000000000001,0.859375,816.5625,0.159375,0.1484375,2.748027709744434,1.3740138548722225,1.936913255482429e-215,1.4032736788992005e-215
82,-1.15625,0.8375,0.859375,816.5625,0.159375,0.1484375,2.53129344742128,1.2656467237106455,4.2750214695393565e-216,3.097726162081103e-216
83,-1.15625,0.8875000000000001,1.109375,816.5625,0.159375,0.1484375,1.9297989199075636e-163,1.2660783250372315e-163,3.5870184064802547e-242,2.752120043571305e-242
84,-1.15625,0.8875000000000001,0.859375,816.5625,0.159375,0.1484375,2.7425386430103065,1.3712693215051477,1.1074814319323146e-212,7.962898996794899e-213
85,-1.15625,0.8875000000000001,0.859375,816.5625,0.253125,0.1484375,2.742538643010373,1.371269321505192,1.836155829829326e-202,1.2938320662728075e-202
86,-1.15625,0.8875000000000001,0.859375,816.5625,0.159375,0.3453125,2.742538643010373,1.371269321505192,5.139544181320023e-201,3.6178703134099756e-201
87,-1.21875,0.8375,1.109375,816.5625,0.253125,0.3453125,1.0534288923620096e-174,7.020702968870488e-175,8.151620171468353e-249,6.342757750535476e-249
88,-1.65625,1.0875,1.109375,371.5625,0.009375,0.3734375,2.5190050068959233,1.2595025034479561,1.9861255125771536e-184,1.3505015300402525e-184
89,-1.71875,1.0875,1.109375,371.5625,0.009375,0.3734375,2.5142340126035707,1.2571170063017907,2.9235591394828852e-186,1.994972237693282e-186
90,-1.65625,1.0375,1.109375,371.5625,0.009375,0.3734375,6.07108112025764e-137,3.868886818813524e-137,7.752696088810172e-229,5.82195612086739e-229
91,-1.65625,1.0875,0.859375,371.5625,0.009375,0.3734375,3.469229853915439,1.734614926957725,3.054277537812245,1.5271387689061169
92,-1.65625,1.0875,1.109375,371.5625,0.009375,0.3734375,2.5190050068960397,1.2595025034480254,5.298709392601479e-183,3.6029521279657464e-183
93,-1.65625,1.0875,1.109375,371.5625,0.103125,0.3734375,2.5190050068960397,1.2595025034480254,4.0601490826858396e-158,2.6414881698855114e-158
94,-1.65625,1.0875,1.109375,371.5625,0.009375,0.1203125,2.5190050068960397,1.2595025034480254,6.358922496423476e-213,4.584994168039566e-213
95,-1.71875,1.0375,0.859375,371.5625,0.103125,0.1203125,3.35092560861064,1.6754628043053144,2.591248614371094,1.2956243071855527
96,-1.53125,0.8375,1.171875,260.3125,0.046875,0.4296875,2.1402138980326928e-189,1.4727401166119665e-189,1.7482822650379797e-231,1.3128056003722335e-231
97,-1.09375,0.8375,1.171875,260.3125,0.046875,0.4296875,4.056236491558382e-174,2.7117639962423166e-174,2.69497110997105e-208,1.9193954098232658e-208
98,-1.53125,0.8875000000000001,1.171875,260.3125,0.046875,0.4296875,6.576751057950035e-182,4.4579124644913145e-182,2.9611893849718473e-227,2.202663586758585e-227
99,-1.53125,0.8375,1.046875,260.3125,0.046875,0.4296875,2.6866508805947138e-173,1.7937052503348774e-173,8.002847290600955e-222,5.89663317749884e-222
100,-1.53125,0.8375,1.171875,482.8125,0.046875,0.4296875,2.063671840623153e-189,1.4200694192304274e-189,3.633184169496237e-254,2.863742918357769e-254
101,-1.53125,0.8375,1.171875,260.3125,0.29062499999999997,0.4296875,2.1467385901220632e-189,1.4772299369039425e-189,9.939728141772391e-231,7.4638581147037e-231
102,-1.53125,0.8375,1.171875,260.3125,0.046875,0.06406250000000001,2.147505929473584e-189,1.4777579642413403e-189,3.0292670963612693e-232,2.274712092351984e-232
103,-1.09375,0.8875000000000001,1.046875,482.8125,0.29062499999999997,0.06406250000000001,4.8266848260554604e-154,3.118988881063799e-154,1.3865340844866272e-215,1.0082786331349869e-215
104,-1.03125,1.0375,0.921875,705.3125,0.196875,0.20468750000000002,2.957795845342823,1.478897922671417,5.84791032517912e-181,3.9600864500900925e-181
105,-1.59375,1.0375,0.921875,705.3125,0.196875,0.20468750000000002,3.0952516930762566,1.5476258465381227,2.159535465445152e-202,1.523640074782869e-202
106,-1.03125,1.0875,0.921875,705.3125,0.196875,0.20468750000000002,3.0682236165313044,1.5341118082656466,1.0281930408083278e-177,6.916616500197633e-178
107,-1.03125,1.0375,0.796875,705.3125,0.196875,0.20468750000000002,3.2828048313341136,1.6414024156670513,1.571546509288234e-163,1.0294081885208312e-163
108,-1.03125,1.0375,0.921875,37.8125,0.196875,0.20468750000000002,2.957795845342823,1.478897922671417,4.086166612872235,2.0430833064361282
109,-1.03125,1.0375,0.921875,705.3125,0.140625,0.20468750000000002,2.9577958453427815,1.4788979226713854,5.5073935625668875e-188,3.779303506548138e-188
110,-1.03125,1.0375,0.921875,705.3125,0.196875,0.2890625,2.957795845342823,1.478897922671417,1.5413722959851116e-175,1.0334138061030472e-175
111,-1.59375,1.0875,0.796875,37.8125,0.140625,0.2890625,3.65075740192192,1.8253787009609548,5.164374973764032,2.5821874868820176
112,-1.28125,0.9375,1.046875,37.8125,0.271875,0.0921875,6.541063860227398e-148,4.1945224263092934e-148,1.662285980723571e-152,1.0836283813657685e-152
113,-1.34375,0.9375,1.046875,37.8125,0.271875,0.0921875,2.7935652302938594e-149,1.7941537200789235e-149,1.8160761374245474e-154,1.1866419912590372e-154
114,-1.28125,1.1875,1.046875,37.8125,0.271875,0.0921875,3.0432798454014436,1.5216399227007162,4.276242263546477,2.138121131773228
